Day,-2,-1,0,1,2
2021-07-08,0.025,0.397,0.437,0.131,0.01
2021-07-09,0.025,0.408,0.407,0.147,0.013
2021-07-10,0.023,0.39,0.435,0.144,0.008
2021-07-11,0.025,0.377,0.454,0.129,0.015
2021-07-12,0.022,0.378,0.421,0.163,0.016
2021-07-13,0.024,0.415,0.414,0.134,0.013
2021-07-14,0.033,0.377,0.416,0.162,0.012
2021-07-15,0.019,0.389,0.419,0.16,0.013
2021-07-16,0.033,0.379,0.423,0.15,0.015
2021-07-17,0.027,0.361,0.44,0.16,0.012
2021-07-18,0.029,0.408,0.403,0.141,0.019
2021-07-19,0.022,0.358,0.461,0.153,0.006
2021-07-20,0.022,0.378,0.431,0.154,0.015
2021-07-21,0.02,0.343,0.458,0.157,0.022
2021-07-22,0.027,0.348,0.45,0.157,0.018
2021-07-23,0.024,0.347,0.438,0.171,0.02
2021-07-24,0.017,0.362,0.423,0.186,0.012
2021-07-25,0.026,0.333,0.463,0.158,0.02
2021-07-26,0.021,0.34,0.448,0.176,0.015
2021-07-27,0.025,0.329,0.452,0.173,0.021
2021-07-28,0.025,0.328,0.448,0.18,0.019
2021-07-29,0.024,0.326,0.454,0.176,0.02
2021-07-30,0.028,0.315,0.455,0.186,0.016
2021-07-31,0.025,0.343,0.422,0.191,0.019
2021-08-01,0.016,0.309,0.456,0.196,0.023
2021-08-02,0.027,0.34,0.439,0.172,0.022
2021-08-03,0.015,0.318,0.458,0.192,0.017
2021-08-04,0.022,0.287,0.469,0.197,0.025
2021-08-05,0.021,0.301,0.449,0.21,0.019
2021-08-06,0.016,0.296,0.466,0.206,0.016
2021-08-07,0.021,0.272,0.475,0.205,0.027
2021-08-08,0.01,0.31,0.446,0.211,0.023
2021-08-09,0.025,0.308,0.459,0.182,0.026
2021-08-10,0.013,0.28,0.47,0.21,0.027
2021-08-11,0.015,0.298,0.458,0.207,0.022
2021-08-12,0.014,0.292,0.461,0.212,0.021
2021-08-13,0.022,0.299,0.456,0.194,0.029
2021-08-14,0.014,0.301,0.459,0.206,0.02
2021-08-15,0.016,0.286,0.454,0.215,0.029
2021-08-16,0.023,0.292,0.455,0.203,0.027
2021-08-17,0.01,0.286,0.447,0.234,0.023
2021-08-18,0.017,0.297,0.447,0.213,0.026
2021-08-19,0.017,0.263,0.469,0.223,0.028
2021-08-20,0.02,0.29,0.456,0.205,0.029
2021-08-21,0.019,0.275,0.467,0.212,0.027
2021-08-22,0.01,0.283,0.448,0.223,0.036
2021-08-23,0.009,0.257,0.494,0.209,0.031
2021-08-24,0.016,0.261,0.467,0.228,0.028
2021-08-25,0.017,0.251,0.473,0.238,0.021
2021-08-26,0.012,0.278,0.454,0.23,0.026
2021-08-27,0.018,0.252,0.462,0.242,0.026
2021-08-28,0.016,0.274,0.458,0.224,0.028
2021-08-29,0.019,0.257,0.473,0.221,0.03
2021-08-30,0.013,0.243,0.479,0.242,0.023
2021-08-31,0.016,0.275,0.457,0.224,0.028
2021-09-01,0.012,0.25,0.477,0.237,0.024
2021-09-02,0.013,0.256,0.482,0.219,0.03
2021-09-03,0.012,0.279,0.447,0.235,0.027
2021-09-04,0.014,0.264,0.455,0.238,0.029
2021-09-05,0.01,0.272,0.453,0.219,0.046
2021-09-06,0.017,0.286,0.431,0.24,0.026
2021-09-07,0.013,0.292,0.464,0.209,0.022
2021-09-08,0.014,0.258,0.46,0.242,0.026
2021-09-09,0.013,0.248,0.487,0.222,0.03
2021-09-10,0.016,0.245,0.491,0.217,0.031
2021-09-11,0.016,0.251,0.489,0.221,0.023
2021-09-12,0.02,0.265,0.437,0.248,0.03
2021-09-13,0.023,0.27,0.45,0.222,0.035
2021-09-14,0.022,0.273,0.438,0.238,0.029
2021-09-15,0.012,0.293,0.426,0.247,0.022
2021-09-16,0.015,0.276,0.443,0.235,0.031
2021-09-17,0.009,0.275,0.472,0.22,0.024
2021-09-18,0.019,0.287,0.449,0.226,0.019
2021-09-19,0.014,0.268,0.469,0.233,0.016
2021-09-20,0.011,0.265,0.5,0.204,0.02
2021-09-21,0.025,0.281,0.446,0.228,0.02
2021-09-22,0.016,0.308,0.437,0.216,0.023
2021-09-23,0.019,0.274,0.461,0.214,0.032
2021-09-24,0.014,0.286,0.448,0.235,0.017
2021-09-25,0.02,0.289,0.472,0.191,0.028
2021-09-26,0.02,0.305,0.43,0.219,0.026
2021-09-27,0.021,0.25,0.461,0.239,0.029
2021-09-28,0.016,0.256,0.488,0.216,0.024
2021-09-29,0.028,0.289,0.443,0.215,0.025
2021-09-30,0.02,0.307,0.453,0.197,0.023
2021-10-01,0.029,0.303,0.446,0.201,0.021
2021-10-02,0.023,0.288,0.444,0.219,0.026
2021-10-03,0.024,0.286,0.46,0.21,0.02
2021-10-04,0.018,0.308,0.445,0.202,0.027
2021-10-05,0.019,0.306,0.475,0.179,0.021
2021-10-06,0.02,0.305,0.451,0.189,0.035
2021-10-07,0.019,0.31,0.446,0.2,0.025
2021-10-08,0.027,0.272,0.46,0.205,0.036
2021-10-09,0.021,0.314,0.421,0.224,0.02
2021-10-10,0.023,0.325,0.444,0.19,0.018
2021-10-11,0.023,0.313,0.461,0.182,0.021
2021-10-12,0.012,0.31,0.446,0.208,0.024
2021-10-13,0.024,0.295,0.473,0.182,0.026
2021-10-14,0.013,0.31,0.449,0.212,0.016
2021-10-15,0.019,0.304,0.475,0.193,0.009
2021-10-16,0.02,0.321,0.448,0.19,0.021
2021-10-17,0.024,0.315,0.457,0.186,0.018
2021-10-18,0.027,0.301,0.46,0.192,0.02
2021-10-19,0.018,0.329,0.459,0.175,0.019
2021-10-20,0.026,0.306,0.465,0.184,0.019
2021-10-21,0.023,0.288,0.475,0.19,0.024
2021-10-22,0.025,0.271,0.482,0.203,0.019
2021-10-23,0.028,0.328,0.42,0.201,0.023
2021-10-24,0.016,0.34,0.45,0.172,0.022
2021-10-25,0.029,0.284,0.461,0.204,0.022
2021-10-26,0.023,0.321,0.47,0.171,0.015
2021-10-27,0.019,0.35,0.442,0.17,0.019
2021-10-28,0.022,0.32,0.45,0.187,0.021
2021-10-29,0.033,0.314,0.456,0.179,0.018
2021-10-30,0.014,0.338,0.435,0.186,0.027
2021-10-31,0.023,0.309,0.45,0.195,0.023
2021-11-01,0.024,0.338,0.447,0.173,0.018
2021-11-02,0.024,0.293,0.467,0.195,0.021
2021-11-03,0.025,0.31,0.453,0.183,0.029
2021-11-04,0.031,0.324,0.439,0.178,0.028
2021-11-05,0.015,0.316,0.452,0.191,0.026
2021-11-06,0.024,0.347,0.439,0.174,0.016
2021-11-07,0.017,0.329,0.464,0.166,0.024
2021-11-08,0.014,0.328,0.46,0.178,0.02
2021-11-09,0.019,0.334,0.447,0.178,0.022
2021-11-10,0.02,0.322,0.442,0.196,0.02
2021-11-11,0.028,0.33,0.462,0.164,0.016
2021-11-12,0.018,0.376,0.418,0.169,0.019
2021-11-13,0.02,0.336,0.454,0.174,0.016
2021-11-14,0.024,0.334,0.441,0.184,0.017
2021-11-15,0.027,0.331,0.456,0.172,0.014
2021-11-16,0.027,0.324,0.434,0.2,0.015
2021-11-17,0.029,0.327,0.442,0.181,0.021
2021-11-18,0.018,0.319,0.455,0.19,0.018
2021-11-19,0.025000000000000005,0.35200000000000004,0.42800000000000005,0.17200000000000001,0.023000000000000003
2021-11-20,0.019,0.315,0.462,0.192,0.012
2021-11-21,0.024,0.327,0.427,0.193,0.029
2021-11-22,0.017,0.306,0.452,0.205,0.02
2021-11-23,0.019,0.324,0.471,0.171,0.015
2021-11-24,0.030000000000000002,0.31900000000000006,0.44800000000000006,0.18400000000000002,0.019000000000000003
2021-11-25,0.021,0.325,0.45,0.181,0.023
2021-11-26,0.022,0.347,0.431,0.183,0.017
2021-11-27,0.025,0.316,0.444,0.195,0.02
2021-11-28,0.022,0.324,0.448,0.179,0.027
2021-11-29,0.019,0.315,0.452,0.189,0.025
2021-11-30,0.026,0.314,0.436,0.199,0.025
2021-12-01,0.019,0.304,0.444,0.212,0.021
2021-12-02,0.015,0.302,0.463,0.2,0.02
2021-12-03,0.02,0.313,0.436,0.204,0.027
2021-12-04,0.015,0.284,0.493,0.187,0.021
2021-12-05,0.022,0.326,0.438,0.195,0.019
2021-12-06,0.02,0.291,0.467,0.201,0.021
2021-12-07,0.017,0.329,0.457,0.182,0.015
2021-12-08,0.02,0.284,0.454,0.22,0.022
2021-12-09,0.015,0.304,0.459,0.196,0.026
2021-12-10,0.015,0.286,0.465,0.208,0.026
2021-12-11,0.02,0.299,0.476,0.189,0.016
2021-12-12,0.015,0.317,0.437,0.211,0.02
2021-12-13,0.018,0.319,0.44,0.206,0.017
2021-12-14,0.016,0.325,0.454,0.177,0.028
2021-12-15,0.018,0.329,0.438,0.188,0.027
2021-12-16,0.021,0.293,0.454,0.213,0.019
2021-12-17,0.02,0.314,0.447,0.204,0.015
2021-12-18,0.011,0.305,0.46,0.199,0.025
2021-12-19,0.02,0.3,0.462,0.197,0.021
2021-12-20,0.024,0.31,0.441,0.198,0.027
2021-12-21,0.017,0.278,0.485,0.195,0.025
2021-12-22,0.024,0.28,0.469,0.205,0.022
2021-12-23,0.024,0.274,0.471,0.21,0.021
2021-12-24,0.022,0.299,0.438,0.212,0.029
2021-12-25,0.025,0.271,0.474,0.211,0.019
2021-12-26,0.014,0.277,0.473,0.216,0.02
2021-12-27,0.019,0.261,0.472,0.222,0.026
2021-12-28,0.012,0.269,0.464,0.224,0.031
2021-12-29,0.013,0.243,0.473,0.243,0.028
2021-12-30,0.01,0.266,0.455,0.238,0.031
2021-12-31,0.017,0.239,0.474,0.232,0.038
2022-01-01,0.017,0.262,0.428,0.26,0.033
2022-01-02,0.01,0.228,0.463,0.259,0.04
2022-01-03,0.016,0.214,0.475,0.263,0.032
2022-01-04,0.015,0.208,0.463,0.278,0.036
2022-01-05,0.012,0.233,0.45,0.27,0.035
2022-01-06,0.019,0.212,0.452,0.275,0.042
2022-01-07,0.004,0.253,0.444,0.258,0.041
2022-01-08,0.017,0.213,0.452,0.28,0.038
2022-01-09,0.007,0.207,0.488,0.263,0.035
2022-01-10,0.011,0.196,0.479,0.279,0.035
2022-01-11,0.011,0.222,0.441,0.293,0.033
2022-01-12,0.014,0.234,0.434,0.275,0.043
2022-01-13,0.012,0.232,0.448,0.268,0.04
2022-01-14,0.01,0.241,0.457,0.252,0.04
2022-01-15,0.007,0.223,0.452,0.279,0.039
2022-01-16,0.013,0.208,0.465,0.265,0.049
2022-01-17,0.009,0.21,0.438,0.303,0.04
2022-01-18,0.016,0.235,0.452,0.254,0.043
2022-01-19,0.005,0.245,0.462,0.25,0.038
2022-01-20,0.012,0.192,0.479,0.272,0.045
2022-01-21,0.01,0.23,0.483,0.252,0.025
2022-01-22,0.017,0.237,0.434,0.276,0.036
2022-01-23,0.01,0.23,0.474,0.257,0.029
2022-01-24,0.011,0.217,0.452,0.285,0.035
2022-01-25,0.01,0.25,0.437,0.264,0.039
2022-01-26,0.017,0.237,0.482,0.225,0.039
2022-01-27,0.016,0.242,0.433,0.267,0.042
2022-01-28,0.021,0.245,0.435,0.253,0.046
2022-01-29,0.008,0.255,0.438,0.263,0.036
2022-01-30,0.014,0.229,0.447,0.264,0.046
2022-01-31,0.019,0.263,0.451,0.23,0.037
2022-02-01,0.012,0.249,0.466,0.241,0.032
2022-02-02,0.007,0.279,0.445,0.231,0.038
2022-02-03,0.012,0.255,0.452,0.256,0.025
2022-02-04,0.014,0.248,0.468,0.236,0.034
2022-02-05,0.013,0.276,0.446,0.238,0.027
2022-02-06,0.014,0.248,0.477,0.238,0.023
2022-02-07,0.013,0.269,0.458,0.24,0.02
2022-02-08,0.033,0.262,0.432,0.245,0.028
2022-02-09,0.022,0.314,0.419,0.223,0.022
2022-02-10,0.019,0.284,0.461,0.219,0.017
2022-02-11,0.015,0.3,0.451,0.214,0.02
2022-02-12,0.019,0.326,0.429,0.202,0.024
2022-02-13,0.015,0.28,0.464,0.212,0.029
2022-02-14,0.02,0.287,0.479,0.189,0.025
2022-02-15,0.015,0.321,0.434,0.201,0.029
2022-02-16,0.017,0.314,0.454,0.187,0.028
2022-02-17,0.021,0.279,0.46,0.221,0.019
2022-02-18,0.027,0.322,0.426,0.205,0.02
2022-02-19,0.016,0.316,0.45,0.193,0.025
2022-02-20,0.026,0.329,0.429,0.2,0.016
2022-02-21,0.018,0.311,0.436,0.214,0.021
2022-02-22,0.022,0.311,0.458,0.191,0.018
2022-02-23,0.022,0.301,0.466,0.191,0.02
2022-02-24,0.021,0.328,0.427,0.204,0.02
2022-02-25,0.018,0.317,0.444,0.202,0.019
2022-02-26,0.029,0.317,0.434,0.198,0.022
2022-02-27,0.022,0.295,0.46,0.198,0.025
2022-02-28,0.016,0.322,0.435,0.201,0.026
2022-03-01,0.024,0.325,0.449,0.178,0.024
2022-03-02,0.019,0.329,0.437,0.195,0.02
2022-03-03,0.022,0.343,0.442,0.175,0.018
2022-03-04,0.02,0.363,0.431,0.163,0.023
2022-03-05,0.028,0.339,0.43,0.177,0.026
2022-03-06,0.027,0.368,0.391,0.192,0.022
2022-03-07,0.028,0.353,0.425,0.17,0.024
2022-03-08,0.029,0.349,0.463,0.153,0.006
2022-03-09,0.025,0.333,0.438,0.193,0.011
2022-03-10,0.026,0.344,0.463,0.145,0.022
2022-03-11,0.027,0.367,0.445,0.143,0.018
2022-03-12,0.029,0.326,0.446,0.181,0.018
2022-03-13,0.028,0.358,0.441,0.158,0.015
2022-03-14,0.027,0.329,0.432,0.19,0.022
2022-03-15,0.024,0.331,0.438,0.186,0.021
2022-03-16,0.028,0.354,0.444,0.16,0.014
2022-03-17,0.019,0.374,0.42,0.165,0.022
2022-03-18,0.025,0.341,0.448,0.173,0.013
2022-03-19,0.03,0.364,0.418,0.162,0.026
2022-03-20,0.028,0.359,0.455,0.137,0.021
2022-03-21,0.024,0.367,0.41,0.181,0.018
2022-03-22,0.031,0.367,0.427,0.155,0.02
2022-03-23,0.035,0.371,0.406,0.166,0.022
2022-03-24,0.031,0.343,0.442,0.159,0.025
2022-03-25,0.028,0.353,0.436,0.162,0.021
2022-03-26,0.033,0.349,0.425,0.171,0.022
2022-03-27,0.024,0.377,0.428,0.153,0.018
2022-03-28,0.025,0.363,0.42,0.176,0.016
2022-03-29,0.027,0.368,0.429,0.155,0.021
2022-03-30,0.014,0.399,0.417,0.154,0.016
2022-03-31,0.043,0.348,0.427,0.161,0.021
2022-04-01,0.03,0.347,0.45,0.161,0.012
2022-04-02,0.024,0.367,0.423,0.164,0.022
2022-04-03,0.041,0.362,0.433,0.151,0.013
2022-04-04,0.023,0.36,0.459,0.145,0.013
2022-04-05,0.032,0.363,0.442,0.144,0.019
2022-04-06,0.029,0.355,0.45,0.157,0.009
2022-04-07,0.032,0.366,0.436,0.152,0.014
2022-04-08,0.022,0.353,0.439,0.171,0.015
2022-04-09,0.024,0.374,0.43,0.154,0.018
2022-04-10,0.023,0.325,0.458,0.179,0.015
2022-04-11,0.027000000000000003,0.34400000000000003,0.43000000000000005,0.18000000000000002,0.019000000000000003
2022-04-12,0.027,0.363,0.425,0.168,0.017
2022-04-13,0.029,0.347,0.432,0.177,0.015
2022-04-14,0.022,0.344,0.438,0.181,0.015
2022-04-15,0.029,0.363,0.439,0.155,0.014
2022-04-16,0.038,0.349,0.439,0.161,0.013
2022-04-17,0.034,0.366,0.419,0.169,0.012
2022-04-18,0.032,0.359,0.441,0.151,0.017
2022-04-19,0.029000000000000005,0.35800000000000004,0.41800000000000004,0.18200000000000002,0.013000000000000001
2022-04-20,0.031,0.38,0.427,0.147,0.015
2022-04-21,0.023,0.358,0.456,0.15,0.013
2022-04-22,0.025,0.402,0.395,0.158,0.02
2022-04-23,0.028,0.366,0.438,0.15,0.018
2022-04-24,0.036,0.345,0.445,0.162,0.012
2022-04-25,0.032,0.35,0.44,0.168,0.01
2022-04-26,0.029,0.352,0.429,0.175,0.015
2022-04-27,0.026,0.364,0.436,0.159,0.015
2022-04-28,0.032,0.366,0.438,0.141,0.023
2022-04-29,0.028,0.33,0.454,0.17,0.018
2022-04-30,0.027,0.355,0.435,0.165,0.018
2022-05-01,0.038,0.361,0.418,0.162,0.021
2022-05-02,0.023,0.357,0.45,0.157,0.013
2022-05-03,0.029,0.377,0.428,0.152,0.014
2022-05-04,0.032,0.33,0.458,0.162,0.018
2022-05-05,0.031,0.368,0.422,0.159,0.02
2022-05-06,0.037000000000000005,0.34700000000000003,0.42600000000000005,0.17300000000000001,0.017000000000000005
2022-05-07,0.025,0.324,0.45,0.182,0.019
2022-05-08,0.032,0.365,0.425,0.166,0.012
2022-05-09,0.033,0.352,0.434,0.169,0.012
2022-05-10,0.03200000000000001,0.34500000000000003,0.43400000000000005,0.17800000000000002,0.011000000000000001
2022-05-11,0.025,0.387,0.421,0.159,0.008
2022-05-12,0.036,0.37,0.406,0.174,0.014
2022-05-13,0.031000000000000003,0.35700000000000004,0.42900000000000005,0.17400000000000002,0.009000000000000001
2022-05-14,0.015,0.352,0.447,0.171,0.015
2022-05-15,0.031,0.332,0.467,0.154,0.016
2022-05-16,0.025,0.36,0.435,0.153,0.027
2022-05-17,0.034,0.348,0.409,0.191,0.018
2022-05-18,0.031,0.369,0.412,0.172,0.016
2022-05-19,0.032,0.324,0.453,0.173,0.018
2022-05-20,0.027000000000000003,0.35100000000000003,0.44100000000000006,0.17200000000000001,0.009000000000000001
2022-05-21,0.028,0.324,0.444,0.188,0.016
2022-05-22,0.027,0.355,0.427,0.17,0.021
2022-05-23,0.032,0.339,0.442,0.163,0.024
2022-05-24,0.022,0.333,0.452,0.174,0.019
2022-05-25,0.028,0.325,0.431,0.194,0.022
2022-05-26,0.032,0.348,0.449,0.16,0.011
2022-05-27,0.023,0.342,0.45,0.162,0.023
2022-05-28,0.033,0.335,0.446,0.169,0.017
2022-05-29,0.025,0.34,0.438,0.18,0.017
2022-05-30,0.029,0.348,0.451,0.152,0.02
2022-05-31,0.023,0.321,0.471,0.167,0.018
2022-06-01,0.025,0.355,0.416,0.182,0.022
2022-06-02,0.023,0.343,0.433,0.181,0.02
2022-06-03,0.028,0.345,0.436,0.177,0.014
2022-06-04,0.030000000000000002,0.31700000000000006,0.43800000000000006,0.19200000000000003,0.023000000000000003
2022-06-05,0.027,0.348,0.419,0.192,0.014
2022-06-06,0.035,0.348,0.436,0.164,0.017
2022-06-07,0.038,0.339,0.435,0.169,0.019
2022-06-08,0.023,0.323,0.46,0.176,0.018
2022-06-09,0.022,0.32,0.462,0.182,0.014
2022-06-10,0.025,0.321,0.442,0.189,0.023
2022-06-11,0.029,0.353,0.429,0.171,0.018
2022-06-12,0.025,0.344,0.433,0.171,0.027
2022-06-13,0.026,0.347,0.428,0.179,0.02
2022-06-14,0.03,0.332,0.424,0.189,0.025
2022-06-15,0.029,0.318,0.466,0.172,0.015
2022-06-16,0.038000000000000006,0.3410000000000001,0.42000000000000004,0.18400000000000002,0.017000000000000005
2022-06-17,0.027,0.329,0.437,0.185,0.022
2022-06-18,0.038,0.332,0.427,0.187,0.016
2022-06-19,0.026,0.353,0.41,0.185,0.026
2022-06-20,0.031,0.363,0.42,0.177,0.009
2022-06-21,0.029,0.362,0.435,0.162,0.012
2022-06-22,0.029,0.369,0.416,0.17,0.016
2022-06-23,0.027,0.339,0.454,0.16,0.02
2022-06-24,0.018,0.377,0.434,0.159,0.012
2022-06-25,0.031000000000000003,0.3350000000000001,0.42900000000000005,0.19000000000000003,0.015000000000000001
