Day,-2,-1,0,1,2,Cases
2021-07-10,0.023,0.39,0.435,0.144,0.008,52.14587685714286
2021-07-11,0.025,0.377,0.454,0.129,0.015,63.46772314285714
2021-07-12,0.022,0.378,0.421,0.163,0.016,75.25511657142859
2021-07-13,0.024,0.415,0.414,0.134,0.013,87.42971800000001
2021-07-14,0.033,0.377,0.416,0.162,0.012,100.86131342857142
2021-07-15,0.019,0.389,0.419,0.16,0.013,114.92439285714286
2021-07-16,0.033,0.379,0.423,0.15,0.015,129.26628714285715
2021-07-17,0.027,0.361,0.44,0.16,0.012,125.20770914285713
2021-07-18,0.029,0.408,0.403,0.141,0.019,121.38755
2021-07-19,0.022,0.358,0.461,0.153,0.006,117.78119142857143
2021-07-20,0.022,0.378,0.431,0.154,0.015,114.47408428571428
2021-07-21,0.02,0.343,0.458,0.157,0.022,110.96130142857143
2021-07-22,0.027,0.348,0.45,0.157,0.018,107.51102285714285
2021-07-23,0.024,0.347,0.438,0.171,0.02,104.49999714285715
2021-07-24,0.017,0.362,0.423,0.186,0.012,111.89436428571427
2021-07-25,0.026,0.333,0.463,0.158,0.02,120.04773428571427
2021-07-26,0.021,0.34,0.448,0.176,0.015,128.82207142857143
2021-07-27,0.025,0.329,0.452,0.173,0.021,137.83195857142857
2021-07-28,0.025,0.328,0.448,0.18,0.019,147.4242742857143
2021-07-29,0.024,0.326,0.454,0.176,0.02,158.1341757142857
2021-07-30,0.028,0.315,0.455,0.186,0.016,169.1322142857143
2021-07-31,0.025,0.343,0.422,0.191,0.019,179.92147142857144
2021-08-01,0.016,0.309,0.456,0.196,0.023,191.15882428571427
2021-08-02,0.027,0.34,0.439,0.172,0.022,202.7018814285714
2021-08-03,0.015,0.318,0.458,0.192,0.017,214.4104
2021-08-04,0.022,0.287,0.469,0.197,0.025,226.4245014285714
2021-08-05,0.021,0.301,0.449,0.21,0.019,237.82390714285717
2021-08-06,0.016,0.296,0.466,0.206,0.016,249.81177428571428
2021-08-07,0.021,0.272,0.475,0.205,0.027,261.84912285714285
2021-08-08,0.01,0.31,0.446,0.211,0.023,273.5591957142857
2021-08-09,0.025,0.308,0.459,0.182,0.026,286.04087428571427
2021-08-10,0.013,0.28,0.47,0.21,0.027,299.5754242857143
2021-08-11,0.015,0.298,0.458,0.207,0.022,310.6885471428572
2021-08-12,0.014,0.292,0.461,0.212,0.021,321.8414685714286
2021-08-13,0.022,0.299,0.456,0.194,0.029,331.7372771428572
2021-08-14,0.014,0.301,0.459,0.206,0.02,341.32355285714283
2021-08-15,0.016,0.286,0.454,0.215,0.029,349.89281
2021-08-16,0.023,0.292,0.455,0.203,0.027,357.2616628571428
2021-08-17,0.01,0.286,0.447,0.234,0.023,363.33504
2021-08-18,0.017,0.297,0.447,0.213,0.026,370.9180542857143
2021-08-19,0.017,0.263,0.469,0.223,0.028,377.8961728571429
2021-08-20,0.02,0.29,0.456,0.205,0.029,385.3545357142857
2021-08-21,0.019,0.275,0.467,0.212,0.027,392.80776000000003
2021-08-22,0.01,0.283,0.448,0.223,0.036,400.78509285714284
2021-08-23,0.009,0.257,0.494,0.209,0.031,407.7095528571429
2021-08-24,0.016,0.261,0.467,0.228,0.028,414.62487142857145
2021-08-25,0.017,0.251,0.473,0.238,0.021,421.29907714285713
2021-08-26,0.012,0.278,0.454,0.23,0.026,427.79073714285715
2021-08-27,0.018,0.252,0.462,0.242,0.026,433.32985428571425
2021-08-28,0.016,0.274,0.458,0.224,0.028,438.19183285714286
2021-08-29,0.019,0.257,0.473,0.221,0.03,442.66887142857144
2021-08-30,0.013,0.243,0.479,0.242,0.023,447.5177042857143
2021-08-31,0.016,0.275,0.457,0.224,0.028,451.0174028571428
2021-09-01,0.012,0.25,0.477,0.237,0.024,454.8699514285714
2021-09-02,0.013,0.256,0.482,0.219,0.03,458.8671614285714
2021-09-03,0.012,0.279,0.447,0.235,0.027,463.5802871428571
2021-09-04,0.014,0.264,0.455,0.238,0.029,467.41245714285714
2021-09-05,0.01,0.272,0.453,0.219,0.046,470.3619942857143
2021-09-06,0.017,0.286,0.431,0.24,0.026,472.32809428571426
2021-09-07,0.013,0.292,0.464,0.209,0.022,475.26335000000006
2021-09-08,0.014,0.258,0.46,0.242,0.026,475.78625999999997
2021-09-09,0.013,0.248,0.487,0.222,0.03,471.7372442857143
2021-09-10,0.016,0.245,0.491,0.217,0.031,464.8732585714286
2021-09-11,0.016,0.251,0.489,0.221,0.023,458.19755571428567
2021-09-12,0.02,0.265,0.437,0.248,0.03,450.9265814285714
2021-09-13,0.023,0.27,0.45,0.222,0.035,444.8531428571428
2021-09-14,0.022,0.273,0.438,0.238,0.029,437.78455571428566
2021-09-15,0.012,0.293,0.426,0.247,0.022,432.24347
2021-09-16,0.015,0.276,0.443,0.235,0.031,433.2512257142857
2021-09-17,0.009,0.275,0.472,0.22,0.024,435.3508771428571
2021-09-18,0.019,0.287,0.449,0.226,0.019,436.45406
2021-09-19,0.014,0.268,0.469,0.233,0.016,437.34344
2021-09-20,0.011,0.265,0.5,0.204,0.02,435.67832285714286
2021-09-21,0.025,0.281,0.446,0.228,0.02,433.41864857142855
2021-09-22,0.016,0.308,0.437,0.216,0.023,429.75116428571425
2021-09-23,0.019,0.274,0.461,0.214,0.032,421.50428142857146
2021-09-24,0.014,0.286,0.448,0.235,0.017,411.9257685714286
2021-09-25,0.02,0.289,0.472,0.191,0.028,401.5883828571429
2021-09-26,0.02,0.305,0.43,0.219,0.026,390.52425857142856
2021-09-27,0.021,0.25,0.461,0.239,0.029,379.73267142857145
2021-09-28,0.016,0.256,0.488,0.216,0.024,368.92841428571427
2021-09-29,0.028,0.289,0.443,0.215,0.025,359.88894571428574
2021-09-30,0.02,0.307,0.453,0.197,0.023,351.54483857142856
2021-10-01,0.029,0.303,0.446,0.201,0.021,344.06507999999997
2021-10-02,0.023,0.288,0.444,0.219,0.026,337.47357
2021-10-03,0.024,0.286,0.46,0.21,0.02,331.7009371428572
2021-10-04,0.018,0.308,0.445,0.202,0.027,326.6579071428572
2021-10-05,0.019,0.306,0.475,0.179,0.021,322.26064428571425
2021-10-06,0.02,0.305,0.451,0.189,0.035,316.40273857142853
2021-10-07,0.019,0.31,0.446,0.2,0.025,310.77644428571426
2021-10-08,0.027,0.272,0.46,0.205,0.036,306.18742428571426
2021-10-09,0.021,0.314,0.421,0.224,0.02,301.7902157142857
2021-10-10,0.023,0.325,0.444,0.19,0.018,297.3860771428571
2021-10-11,0.023,0.313,0.461,0.182,0.021,293.15038571428573
2021-10-12,0.012,0.31,0.446,0.208,0.024,288.93913428571426
2021-10-13,0.024,0.295,0.473,0.182,0.026,284.82635714285715
2021-10-14,0.013,0.31,0.449,0.212,0.016,280.8027342857143
2021-10-15,0.019,0.304,0.475,0.193,0.009,275.38462571428573
2021-10-16,0.02,0.321,0.448,0.19,0.021,269.65800142857137
2021-10-17,0.024,0.315,0.457,0.186,0.018,263.6976785714286
2021-10-18,0.027,0.301,0.46,0.192,0.02,257.96394428571426
2021-10-19,0.018,0.329,0.459,0.175,0.019,252.07401285714286
2021-10-20,0.026,0.306,0.465,0.184,0.019,246.6750257142857
2021-10-21,0.023,0.288,0.475,0.19,0.024,241.46235000000001
2021-10-22,0.025,0.271,0.482,0.203,0.019,236.37713000000002
2021-10-23,0.028,0.328,0.42,0.201,0.023,231.70224428571427
2021-10-24,0.016,0.34,0.45,0.172,0.022,227.29870428571425
2021-10-25,0.029,0.284,0.461,0.204,0.022,221.74184428571425
2021-10-26,0.023,0.321,0.47,0.171,0.015,215.6601
2021-10-27,0.019,0.35,0.442,0.17,0.019,210.64060999999998
2021-10-28,0.022,0.32,0.45,0.187,0.021,207.42779571428574
2021-10-29,0.033,0.314,0.456,0.179,0.018,205.85482000000002
2021-10-30,0.014,0.338,0.435,0.186,0.027,205.76674285714287
2021-10-31,0.023,0.309,0.45,0.195,0.023,206.82099
2021-11-01,0.024,0.338,0.447,0.173,0.018,209.41235857142854
2021-11-02,0.024,0.293,0.467,0.195,0.021,213.01226285714287
2021-11-03,0.025,0.31,0.453,0.183,0.029,217.88189000000003
2021-11-04,0.031,0.324,0.439,0.178,0.028,219.86023714285713
2021-11-05,0.015,0.316,0.452,0.191,0.026,221.05592285714283
2021-11-06,0.024,0.347,0.439,0.174,0.016,220.46967142857142
2021-11-07,0.017,0.329,0.464,0.166,0.024,219.5150942857143
2021-11-08,0.014,0.328,0.46,0.178,0.02,218.69203857142858
2021-11-09,0.019,0.334,0.447,0.178,0.022,218.40001857142855
2021-11-10,0.02,0.322,0.442,0.196,0.02,216.02597571428572
2021-11-11,0.028,0.33,0.462,0.164,0.016,215.77226
2021-11-12,0.018,0.376,0.418,0.169,0.019,216.73848999999998
2021-11-13,0.02,0.336,0.454,0.174,0.016,217.64902857142857
2021-11-14,0.024,0.334,0.441,0.184,0.017,220.45563285714283
2021-11-15,0.027,0.331,0.456,0.172,0.014,225.18943428571427
2021-11-16,0.027,0.324,0.434,0.2,0.015,229.67776714285716
2021-11-17,0.029,0.327,0.442,0.181,0.021,235.28081714285713
2021-11-18,0.018,0.319,0.455,0.19,0.018,241.22697571428574
2021-11-19,0.025,0.352,0.428,0.172,0.023,246.99853285714286
2021-11-20,0.019,0.315,0.462,0.192,0.012,256.67958428571427
2021-11-21,0.024,0.327,0.427,0.193,0.029,263.83194999999995
2021-11-22,0.017,0.306,0.452,0.205,0.02,267.6158985714286
2021-11-23,0.019,0.324,0.471,0.171,0.015,271.5844257142857
2021-11-24,0.03,0.319,0.448,0.184,0.019,275.22962285714283
2021-11-25,0.021,0.325,0.45,0.181,0.023,278.2843914285714
2021-11-26,0.022,0.347,0.431,0.183,0.017,280.66178142857143
2021-11-27,0.025,0.316,0.444,0.195,0.02,276.98186285714286
2021-11-28,0.022,0.324,0.448,0.179,0.027,271.9336885714286
2021-11-29,0.019,0.315,0.452,0.189,0.025,268.59975142857144
2021-11-30,0.026,0.314,0.436,0.199,0.025,266.02039285714284
2021-12-01,0.019,0.304,0.444,0.212,0.021,259.63545714285715
2021-12-02,0.015,0.302,0.463,0.2,0.02,254.17509857142855
2021-12-03,0.02,0.313,0.436,0.204,0.027,250.2573
2021-12-04,0.015,0.284,0.493,0.187,0.021,253.64704857142857
2021-12-05,0.022,0.326,0.438,0.195,0.019,263.1254728571429
2021-12-06,0.02,0.291,0.467,0.201,0.021,273.19821
2021-12-07,0.017,0.329,0.457,0.182,0.015,282.1350785714286
2021-12-08,0.02,0.284,0.454,0.22,0.022,299.58473714285714
2021-12-09,0.015,0.304,0.459,0.196,0.026,316.1520642857143
2021-12-10,0.015,0.286,0.465,0.208,0.026,330.9323157142857
2021-12-11,0.02,0.299,0.476,0.189,0.016,341.07658142857144
2021-12-12,0.015,0.317,0.437,0.211,0.02,346.0930828571428
2021-12-13,0.018,0.319,0.44,0.206,0.017,349.97801571428573
2021-12-14,0.016,0.325,0.454,0.177,0.028,354.10304142857143
2021-12-15,0.018,0.329,0.438,0.188,0.027,352.9144685714286
2021-12-16,0.021,0.293,0.454,0.213,0.019,351.42927428571426
2021-12-17,0.02,0.314,0.447,0.204,0.015,351.14729142857146
2021-12-18,0.011,0.305,0.46,0.199,0.025,352.75802999999996
2021-12-19,0.02,0.3,0.462,0.197,0.021,356.59067571428574
2021-12-20,0.024,0.31,0.441,0.198,0.027,362.0368142857143
2021-12-21,0.017,0.278,0.485,0.195,0.025,369.9513471428572
2021-12-22,0.024,0.28,0.469,0.205,0.022,382.5766742857143
2021-12-23,0.024,0.274,0.471,0.21,0.021,399.86176857142857
2021-12-24,0.022,0.299,0.438,0.212,0.029,421.60675571428567
2021-12-25,0.025,0.271,0.474,0.211,0.019,448.7838371428571
2021-12-26,0.014,0.277,0.473,0.216,0.02,479.75514428571427
2021-12-27,0.019,0.261,0.472,0.222,0.026,511.00269714285713
2021-12-28,0.012,0.269,0.464,0.224,0.031,546.1323171428571
2021-12-29,0.013,0.243,0.473,0.243,0.028,588.3045857142857
2021-12-30,0.01,0.266,0.455,0.238,0.031,636.9494485714285
2021-12-31,0.017,0.239,0.474,0.232,0.038,694.2599014285714
2022-01-01,0.017,0.262,0.428,0.26,0.033,762.9052242857142
2022-01-02,0.01,0.228,0.463,0.259,0.04,840.2644242857143
2022-01-03,0.016,0.214,0.475,0.263,0.032,927.1181571428572
2022-01-04,0.015,0.208,0.463,0.278,0.036,1018.1847571428572
2022-01-05,0.012,0.233,0.45,0.27,0.035,1123.5661285714286
2022-01-06,0.019,0.212,0.452,0.275,0.042,1238.3172285714286
2022-01-07,0.004,0.253,0.444,0.258,0.041,1352.5935714285715
2022-01-08,0.017,0.213,0.452,0.28,0.038,1461.3697714285715
2022-01-09,0.007,0.207,0.488,0.263,0.035,1579.1372714285715
2022-01-10,0.011,0.196,0.479,0.279,0.035,1694.4341142857143
2022-01-11,0.011,0.222,0.441,0.293,0.033,1804.7180857142855
2022-01-12,0.014,0.234,0.434,0.275,0.043,1910.5344
2022-01-13,0.012,0.232,0.448,0.268,0.04,2000.0990285714286
2022-01-14,0.01,0.241,0.457,0.252,0.04,2085.158742857143
2022-01-15,0.007,0.223,0.452,0.279,0.039,2163.052557142857
2022-01-16,0.013,0.208,0.465,0.265,0.049,2220.8969714285713
2022-01-17,0.009,0.21,0.438,0.303,0.04,2271.058642857143
2022-01-18,0.016,0.235,0.452,0.254,0.043,2311.451242857143
2022-01-19,0.005,0.245,0.462,0.25,0.038,2312.394957142857
2022-01-20,0.012,0.192,0.479,0.272,0.045,2312.2468714285715
2022-01-21,0.01,0.23,0.483,0.252,0.025,2298.4446428571428
2022-01-22,0.017,0.237,0.434,0.276,0.036,2272.1131285714287
2022-01-23,0.01,0.23,0.474,0.257,0.029,2235.779771428571
2022-01-24,0.011,0.217,0.452,0.285,0.035,2190.207957142857
2022-01-25,0.01,0.25,0.437,0.264,0.039,2142.485842857143
2022-01-26,0.017,0.237,0.482,0.225,0.039,2115.064557142857
2022-01-27,0.016,0.242,0.433,0.267,0.042,2062.7965
2022-01-28,0.021,0.245,0.435,0.253,0.046,2000.9780714285712
2022-01-29,0.008,0.255,0.438,0.263,0.036,1933.9098
2022-01-30,0.014,0.229,0.447,0.264,0.046,1859.000114285714
2022-01-31,0.019,0.263,0.451,0.23,0.037,1785.942885714286
2022-02-01,0.012,0.249,0.466,0.241,0.032,1709.722071428571
2022-02-02,0.007,0.279,0.445,0.231,0.038,1604.9798857142857
2022-02-03,0.012,0.255,0.452,0.256,0.025,1510.1740857142856
2022-02-04,0.014,0.248,0.468,0.236,0.034,1414.9751714285717
2022-02-05,0.013,0.276,0.446,0.238,0.027,1318.6349428571427
2022-02-06,0.014,0.248,0.477,0.238,0.023,1222.9949
2022-02-07,0.013,0.269,0.458,0.24,0.02,1126.6965
2022-02-08,0.033,0.262,0.432,0.245,0.028,1036.080562857143
2022-02-09,0.022,0.314,0.419,0.223,0.022,955.2323114285715
2022-02-10,0.019,0.284,0.461,0.219,0.017,880.2541542857143
2022-02-11,0.015,0.3,0.451,0.214,0.02,813.3314157142858
2022-02-12,0.019,0.326,0.429,0.202,0.024,748.7098371428572
2022-02-13,0.015,0.28,0.464,0.212,0.029,690.9513571428571
2022-02-14,0.02,0.287,0.479,0.189,0.025,638.0052471428571
2022-02-15,0.015,0.321,0.434,0.201,0.029,585.8336728571428
2022-02-16,0.017,0.314,0.454,0.187,0.028,542.0335757142857
2022-02-17,0.021,0.279,0.46,0.221,0.019,498.7531042857143
2022-02-18,0.027,0.322,0.426,0.205,0.02,456.4484828571429
2022-02-19,0.016,0.316,0.45,0.193,0.025,421.25134285714284
2022-02-20,0.026,0.329,0.429,0.2,0.016,390.5402042857143
2022-02-21,0.018,0.311,0.436,0.214,0.021,360.4136471428571
2022-02-22,0.022,0.311,0.458,0.191,0.018,332.1958871428572
2022-02-23,0.022,0.301,0.466,0.191,0.02,304.28794999999997
2022-02-24,0.021,0.328,0.427,0.204,0.02,282.16322142857143
2022-02-25,0.018,0.317,0.444,0.202,0.019,263.54177714285714
2022-02-26,0.029,0.317,0.434,0.198,0.022,247.30465285714288
2022-02-27,0.022,0.295,0.46,0.198,0.025,232.37298428571427
2022-02-28,0.016,0.322,0.435,0.201,0.026,218.15573857142857
2022-03-01,0.024,0.325,0.449,0.178,0.024,204.16107714285712
2022-03-02,0.019,0.329,0.437,0.195,0.02,199.35090714285712
2022-03-03,0.022,0.343,0.442,0.175,0.018,191.06631857142858
2022-03-04,0.02,0.363,0.431,0.163,0.023,183.44942428571426
2022-03-05,0.028,0.339,0.43,0.177,0.026,175.9504257142857
2022-03-06,0.027,0.368,0.391,0.192,0.022,168.43553285714287
2022-03-07,0.028,0.353,0.425,0.17,0.024,161.14561714285716
2022-03-08,0.029,0.349,0.463,0.153,0.006,154.08139285714287
2022-03-09,0.025,0.333,0.438,0.193,0.011,144.22161857142856
2022-03-10,0.026,0.344,0.463,0.145,0.022,135.47064571428572
2022-03-11,0.027,0.367,0.445,0.143,0.018,127.56842571428571
2022-03-12,0.029,0.326,0.446,0.181,0.018,120.34836142857144
2022-03-13,0.028,0.358,0.441,0.158,0.015,114.4818542857143
2022-03-14,0.027,0.329,0.432,0.19,0.022,109.16729571428571
2022-03-15,0.024,0.331,0.438,0.186,0.021,104.41520642857144
2022-03-16,0.028,0.354,0.444,0.16,0.014,101.01667357142858
2022-03-17,0.019,0.374,0.42,0.165,0.022,99.16996357142857
2022-03-18,0.025,0.341,0.448,0.173,0.013,97.22716871428572
2022-03-19,0.03,0.364,0.418,0.162,0.026,95.61810157142858
2022-03-20,0.028,0.359,0.455,0.137,0.021,94.08886585714285
2022-03-21,0.024,0.367,0.41,0.181,0.018,92.55096728571428
2022-03-22,0.031,0.367,0.427,0.155,0.02,91.05650942857143
2022-03-23,0.035,0.371,0.406,0.166,0.022,88.01841742857142
2022-03-24,0.031,0.343,0.442,0.159,0.025,85.39579742857143
2022-03-25,0.028,0.353,0.436,0.162,0.021,83.70618228571428
2022-03-26,0.033,0.349,0.425,0.171,0.022,82.57568942857142
2022-03-27,0.024,0.377,0.428,0.153,0.018,81.66318085714285
2022-03-28,0.025,0.363,0.42,0.176,0.016,81.04394514285715
2022-03-29,0.027,0.368,0.429,0.155,0.021,80.3531837142857
2022-03-30,0.014,0.399,0.417,0.154,0.016,80.60295714285714
2022-03-31,0.043,0.348,0.427,0.161,0.021,80.79482857142857
2022-04-01,0.03,0.347,0.45,0.161,0.012,80.73256357142857
2022-04-02,0.024,0.367,0.423,0.164,0.022,80.73411642857143
2022-04-03,0.041,0.362,0.433,0.151,0.013,80.7935707142857
2022-04-04,0.023,0.36,0.459,0.145,0.013,80.646037
2022-04-05,0.032,0.363,0.442,0.144,0.019,80.56303842857142
2022-04-06,0.029,0.355,0.45,0.157,0.009,80.53405699999999
2022-04-07,0.032,0.366,0.436,0.152,0.014,81.10196271428572
2022-04-08,0.022,0.353,0.439,0.171,0.015,81.12837485714284
2022-04-09,0.024,0.374,0.43,0.154,0.018,80.542722
2022-04-10,0.023,0.325,0.458,0.179,0.015,80.94474985714285
2022-04-11,0.027,0.344,0.43,0.18,0.019,81.53858928571428
2022-04-12,0.027,0.363,0.425,0.168,0.017,82.48922214285713
2022-04-13,0.029,0.347,0.432,0.177,0.015,84.22490928571429
2022-04-14,0.022,0.344,0.438,0.181,0.015,85.13114499999999
2022-04-15,0.029,0.363,0.439,0.155,0.014,86.62751428571428
2022-04-16,0.038,0.349,0.439,0.161,0.013,90.22478914285715
2022-04-17,0.034,0.366,0.419,0.169,0.012,93.01812842857143
2022-04-18,0.032,0.359,0.441,0.151,0.017,95.83465271428572
2022-04-19,0.029,0.358,0.418,0.182,0.013,98.33370128571428
2022-04-20,0.031,0.38,0.427,0.147,0.015,100.46173414285714
2022-04-21,0.023,0.358,0.456,0.15,0.013,104.33543271428572
2022-04-22,0.025,0.402,0.395,0.158,0.02,108.649282
2022-04-23,0.028,0.366,0.438,0.15,0.018,110.44741142857143
2022-04-24,0.036,0.345,0.445,0.162,0.012,113.60136857142857
2022-04-25,0.032,0.35,0.44,0.168,0.01,116.98699285714285
2022-04-26,0.029,0.352,0.429,0.175,0.015,120.42538142857143
2022-04-27,0.026,0.364,0.436,0.159,0.015,124.60609714285714
2022-04-28,0.032,0.366,0.438,0.141,0.023,127.97218285714287
2022-04-29,0.028,0.33,0.454,0.17,0.018,131.8448657142857
2022-04-30,0.027,0.355,0.435,0.165,0.018,137.24756
2022-05-01,0.038,0.361,0.418,0.162,0.021,141.89812714285713
2022-05-02,0.023,0.357,0.45,0.157,0.013,146.30011571428574
2022-05-03,0.029,0.377,0.428,0.152,0.014,150.9013842857143
2022-05-04,0.032,0.33,0.458,0.162,0.018,155.5257785714286
2022-05-05,0.031,0.368,0.422,0.159,0.02,159.98023000000003
2022-05-06,0.037,0.347,0.426,0.173,0.017,164.6530842857143
2022-05-07,0.025,0.324,0.45,0.182,0.019,169.66588285714286
2022-05-08,0.032,0.365,0.425,0.166,0.012,174.87102857142858
2022-05-09,0.033,0.352,0.434,0.169,0.012,180.0222757142857
2022-05-10,0.032,0.345,0.434,0.178,0.011,185.13217285714288
2022-05-11,0.025,0.387,0.421,0.159,0.008,191.59491142857146
2022-05-12,0.036,0.37,0.406,0.174,0.014,199.22471142857145
2022-05-13,0.031,0.357,0.429,0.174,0.009,207.08552285714288
2022-05-14,0.015,0.352,0.447,0.171,0.015,214.98218571428575
2022-05-15,0.031,0.332,0.467,0.154,0.016,223.30579428571428
2022-05-16,0.025,0.36,0.435,0.153,0.027,231.62952285714286
2022-05-17,0.034,0.348,0.409,0.191,0.018,240.52062285714285
2022-05-18,0.031,0.369,0.412,0.172,0.016,248.54713142857142
2022-05-19,0.032,0.324,0.453,0.173,0.018,256.6741514285714
2022-05-20,0.027,0.351,0.441,0.172,0.009,264.2853085714286
2022-05-21,0.028,0.324,0.444,0.188,0.016,271.43815
2022-05-22,0.027,0.355,0.427,0.17,0.021,279.17873857142854
2022-05-23,0.032,0.339,0.442,0.163,0.024,287.26147857142854
2022-05-24,0.022,0.333,0.452,0.174,0.019,294.3987785714285
2022-05-25,0.028,0.325,0.431,0.194,0.022,299.44856428571427
2022-05-26,0.032,0.348,0.449,0.16,0.011,302.9664257142857
2022-05-27,0.023,0.342,0.45,0.162,0.023,305.8192785714286
2022-05-28,0.033,0.335,0.446,0.169,0.017,308.2191371428571
2022-05-29,0.025,0.34,0.438,0.18,0.017,308.59110571428573
2022-05-30,0.029,0.348,0.451,0.152,0.02,308.5052371428571
2022-05-31,0.023,0.321,0.471,0.167,0.018,307.9373942857143
2022-06-01,0.025,0.355,0.416,0.182,0.022,304.8105085714286
2022-06-02,0.023,0.343,0.433,0.181,0.02,302.8136957142857
2022-06-03,0.028,0.345,0.436,0.177,0.014,299.5942485714286
2022-06-04,0.03,0.317,0.438,0.192,0.023,296.0725014285714
2022-06-05,0.027,0.348,0.419,0.192,0.014,292.18291
2022-06-06,0.035,0.348,0.436,0.164,0.017,288.99692714285715
2022-06-07,0.038,0.339,0.435,0.169,0.019,286.84254142857145
2022-06-08,0.023,0.323,0.46,0.176,0.018,290.6329414285714
2022-06-09,0.022,0.32,0.462,0.182,0.014,292.85090142857143
2022-06-10,0.025,0.321,0.442,0.189,0.023,296.0591757142857
2022-06-11,0.029,0.353,0.429,0.171,0.018,299.02968571428573
2022-06-12,0.025,0.344,0.433,0.171,0.027,302.93863714285715
2022-06-13,0.026,0.347,0.428,0.179,0.02,305.5817514285714
2022-06-14,0.03,0.332,0.424,0.189,0.025,307.48128428571425
2022-06-15,0.029,0.318,0.466,0.172,0.015,306.2469985714286
2022-06-16,0.038,0.3410000000000001,0.42,0.184,0.017,304.37800285714286
2022-06-17,0.027,0.329,0.437,0.185,0.022,302.2107142857143
2022-06-18,0.038,0.332,0.427,0.187,0.016,299.8762914285714
2022-06-19,0.026,0.353,0.41,0.185,0.026,295.7659057142857
2022-06-20,0.031,0.363,0.42,0.177,0.009,292.12818
2022-06-21,0.029,0.362,0.435,0.162,0.012,288.57351
2022-06-22,0.029,0.369,0.416,0.17,0.016,283.17792142857144
2022-06-23,0.027,0.339,0.454,0.16,0.02,281.53366
